=== ScanTicket V1 — Populate Embeddings ===
Modele: https://api.fireworks.ai/inference/v1/
Force re-embed: False

Dossiers a embedder: 25904
  [15850/25904] 43.4 docs/s | 2481138 tokens
  [15900/25904] 43.4 docs/s | 2489570 tokens
  [15950/25904] 43.4 docs/s | 2498314 tokens
  [16000/25904] 43.4 docs/s | 2506938 tokens
  [16050/25904] 43.4 docs/s | 2516052 tokens
  [16100/25904] 43.4 docs/s | 2524948 tokens
  [16150/25904] 43.4 docs/s | 2533552 tokens
  [16200/25904] 43.4 docs/s | 2542285 tokens
  [16250/25904] 43.4 docs/s | 2551061 tokens
  [16300/25904] 43.4 docs/s | 2559416 tokens
  [16350/25904] 43.4 docs/s | 2568133 tokens
  [16400/25904] 43.4 docs/s | 2576103 tokens
  [16450/25904] 43.4 docs/s | 2585105 tokens
  [16500/25904] 43.4 docs/s | 2593532 tokens
  [16550/25904] 43.4 docs/s | 2601816 tokens
  [16600/25904] 43.4 docs/s | 2610979 tokens
  [16650/25904] 43.4 docs/s | 2620212 tokens
  [16700/25904] 43.4 docs/s | 2629168 tokens
  [16750/25904] 43.4 docs/s | 2637977 tokens
  [16800/25904] 43.4 docs/s | 2646819 tokens
  [16850/25904] 43.4 docs/s | 2655429 tokens
  [16900/25904] 43.4 docs/s | 2664047 tokens
  [16950/25904] 43.4 docs/s | 2672742 tokens
  [17000/25904] 43.4 docs/s | 2681267 tokens
  [17050/25904] 43.4 docs/s | 2690060 tokens
  [17100/25904] 43.4 docs/s | 2699236 tokens
  [17150/25904] 43.4 docs/s | 2708225 tokens
  [17200/25904] 43.4 docs/s | 2716746 tokens
  [17250/25904] 43.4 docs/s | 2725648 tokens
  [17300/25904] 43.4 docs/s | 2734375 tokens
  [17350/25904] 43.4 docs/s | 2742863 tokens
  [17400/25904] 43.4 docs/s | 2751738 tokens
  [17450/25904] 43.4 docs/s | 2760754 tokens
  [17500/25904] 43.4 docs/s | 2770206 tokens
  [17550/25904] 43.3 docs/s | 2779055 tokens
  [17600/25904] 43.4 docs/s | 2787856 tokens
  [17650/25904] 43.4 docs/s | 2796981 tokens
  [17700/25904] 43.4 docs/s | 2806207 tokens
  [17750/25904] 43.4 docs/s | 2814918 tokens
  [17800/25904] 43.4 docs/s | 2823699 tokens
  [17850/25904] 43.4 docs/s | 2832475 tokens
  [17900/25904] 43.4 docs/s | 2841055 tokens
  [17950/25904] 43.4 docs/s | 2849847 tokens
  [18000/25904] 43.4 docs/s | 2858375 tokens
  [18050/25904] 43.4 docs/s | 2867558 tokens
  [18100/25904] 43.4 docs/s | 2876440 tokens
  [18150/25904] 43.4 docs/s | 2884309 tokens
  [18200/25904] 43.4 docs/s | 2891674 tokens
  [18250/25904] 43.4 docs/s | 2900254 tokens
  [18300/25904] 43.4 docs/s | 2908032 tokens
  [18350/25904] 43.4 docs/s | 2916256 tokens
  [18400/25904] 43.4 docs/s | 2925239 tokens
  [18450/25904] 43.4 docs/s | 2933995 tokens
  [18500/25904] 43.4 docs/s | 2943365 tokens
  [18550/25904] 43.3 docs/s | 2951700 tokens
  [18600/25904] 43.3 docs/s | 2960261 tokens
  [18650/25904] 43.3 docs/s | 2967783 tokens
  [18700/25904] 43.3 docs/s | 2975829 tokens
  [18750/25904] 43.3 docs/s | 2984622 tokens
